index,ticket_id,created_date,customer,region,channel,subject,severity,time_to_resolve_hours,agent_touches,reopened,sev_weight,category
140,IDC-42708,2026-05-24T00:00:00.000Z,Rivet Play,CA-ON,Portal,Please adjust our scheduled report frequency,S3 - Medium,11.2,5,No,2,Account Admin
141,IDC-44662,2026-06-20T00:00:00.000Z,Pinnacle Play,US-CO,Email,Duplicate verification sessions created for one user,S3 - Medium,33.6,5,No,2,User Verification Friction
142,IDC-42182,2026-08-02T00:00:00.000Z,Rivet Play,CA-ON,Phone,Verification failing with provider timeout (504),S3 - Medium,15.6,6,No,2,Platform Reliability Friction
143,IDC-44389,2026-07-05T00:00:00.000Z,Ashgrove Bet,UK,Slack Connect,Verification failing with provider timeout (504),S1 - Critical,7.9,7,No,4,Platform Reliability Friction
144,IDC-43046,2026-05-29T00:00:00.000Z,Tidewater Casino,US-NJ,Slack Connect,Manual review queue backing up this week,S4 - Low,15.8,3,No,1,Operational Backlog Friction
145,IDC-44497,2026-05-27T00:00:00.000Z,Ashgrove Bet,UK,Email,Question about the data retention period,S4 - Low,34.8,2,No,1,Account Admin
146,IDC-44430,2026-04-16T00:00:00.000Z,Ashgrove Bet,UK,Slack Connect,Player passed data check but failed secondary auth,S4 - Low,52.8,3,No,1,User Verification Friction
147,IDC-43797,2026-07-23T00:00:00.000Z,Cobalt Sportsbook,US-PA,Email,Please adjust our scheduled report frequency,S4 - Low,52.8,1,No,1,Account Admin
148,IDC-43266,2026-07-19T00:00:00.000Z,Foundry Gaming,US-NJ,Email,Watchlist screening flagged the wrong person,S3 - Medium,28.9,5,No,2,Compliance Decision Friction
149,IDC-44830,2026-05-23T00:00:00.000Z,Pinnacle Play,US-CO,Email,Manual review queue backing up this week,S4 - Low,65.2,1,No,1,Operational Backlog Friction
150,IDC-43141,2026-07-20T00:00:00.000Z,Tidewater Casino,US-NJ,Portal,"Review decision pending for 48h+, players waiting",S3 - Medium,35.8,6,No,2,Operational Backlog Friction
151,IDC-44163,2026-03-03T00:00:00.000Z,Selkirk Interactive,US-AZ,Portal,Requesting SOC 2 report for our compliance team,S3 - Medium,39.8,2,No,2,Account Admin
152,IDC-43185,2026-06-04T00:00:00.000Z,Tidewater Casino,US-NJ,Portal,"Review decision pending for 48h+, players waiting",S2 - High,16.4,6,No,3,Operational Backlog Friction
153,IDC-44931,2026-03-20T00:00:00.000Z,Pinnacle Play,US-CO,Email,Too many users routed to step-up this week,S4 - Low,53,3,No,1,User Verification Friction
154,IDC-43685,2026-07-17T00:00:00.000Z,Cobalt Sportsbook,US-PA,Portal,Passport read failing for a batch of users,S2 - High,12.9,4,Yes,3,User Verification Friction
155,IDC-42107,2026-05-10T00:00:00.000Z,Rivet Play,CA-ON,Portal,"Image capture loops, QR code keeps reloading on handoff",S3 - Medium,14.3,5,Yes,2,User Verification Friction
156,IDC-42617,2026-05-23T00:00:00.000Z,Rivet Play,CA-ON,Email,Please add our new brand to the account,S4 - Low,20.1,3,Yes,1,Integration & Config
157,IDC-42907,2026-06-20T00:00:00.000Z,Tidewater Casino,US-NJ,Portal,IDPV outcome differs across document types,S4 - Low,23.3,3,No,1,Compliance Decision Friction
158,IDC-44049,2026-03-02T00:00:00.000Z,Marigold Gaming,US-MI,Email,Duplicate verification sessions created for one user,S2 - High,19.3,4,No,3,User Verification Friction
159,IDC-42483,2026-04-11T00:00:00.000Z,Rivet Play,CA-ON,Email,Invoice query forwarded from finance,S4 - Low,27.4,3,No,1,Account Admin
160,IDC-44648,2026-07-30T00:00:00.000Z,Pinnacle Play,US-CO,Email,apiKey rejected when sent in the request body,S1 - Critical,9.7,12,No,4,Integration & Config
161,IDC-44288,2026-04-21T00:00:00.000Z,Selkirk Interactive,US-AZ,Slack Connect,"vendors.error on data check, backend did not respond in time",S1 - Critical,7.7,11,Yes,4,Platform Reliability Friction
